Bulk,Gear_Type,Brand,Size,Serial_Number,Date_Purchased ,Gear_Category,Location,Available,Notes,X-Large,,,,
FALSE,Fat Bike,Borealis,X-Large,XBR1700041,5/22/18,General,nso room,TRUE,,Large,,,,
FALSE,Fat Bike,Borealis,Large,XBR1600066; XBR1600418,5/22/18,General,trip room,TRUE,,Large,,,,
FALSE,Fat Bike,Borealis,Large,XBR1600066; XBR1600418,5/22/18,General,trip room,TRUE,,Medium,,,,
FALSE,Fat Bike,Borealis,Medium,XBR1600205;,5/22/18,General,in repair,TRUE,,Medium,trip room,,rented,in_repair
FALSE,Fat Bike,Borealis,Medium,XBR1600131;,5/22/18,General,nso room,TRUE,,Medium,nso room,nso_room,rented,in_repair
FALSE,Fat Bike,Borealis,Medium, XBR1600207,5/22/18,General,rented,FALSE,,Small,rented,nso_room,rented,in_repair
FALSE,Fat Bike,Borealis,Small,XBR1600963; ,5/22/18,General,trip room,TRUE,,Small,in repair,nso_room,rented,in_repair
FALSE,Fat Bike,Borealis,Small,XBR1600995,5/22/18,General,rented,FALSE,,5mm,,,,
FALSE,Pogies,NRS,5mm,0,5/24/18,Boating,rented,FALSE,,5mm,,,,
FALSE,Pogies,NRS,5mm,0,5/24/18,Boating,trip room,TRUE,,5mm,,,,
FALSE,Pogies,NRS,5mm,0,5/24/18,Boating,nso room,TRUE,,5mm,,,,
FALSE,Pogies,NRS,5mm,0,5/24/18,Boating,rented,FALSE,,5mm,,,,
FALSE,Pogies,NRS,5mm,0,5/24/18,Boating,rented,FALSE,,72-81,,,,
FALSE,Paddle - SUP,NRS,72-81,0,5/24/18,Boating,rented,FALSE,,Small,,,,
FALSE,Wetsuit,NRS,Small,0,5/24/18,Boating,trip room,TRUE,,Small,,,,
FALSE,Wetsuit,NRS,Small,0,5/24/18,Boating,in repair,TRUE,,Medium,,,,
FALSE,Wetsuit,NRS,Medium,0,5/24/18,Boating,rented,FALSE,,Medium,,,,
FALSE,Wetsuit,NRS,Medium,0,5/24/18,Boating,nso room,TRUE,,Large,,,,
FALSE,Wetsuit,NRS,Large,0,5/24/18,Boating,rented,FALSE,,X-Large,,,,
FALSE,Wetsuit,NRS,X-Large,0,5/24/18,Boating,in repair,TRUE,,75',,,,
FALSE,Throw Bag,NRS,75',0,5/24/18,Boating,trip room,TRUE,,75',,,,
FALSE,Throw Bag,NRS,75',0,5/24/18,Boating,rented,FALSE,,75',,,,
FALSE,Throw Bag,NRS,75',0,5/24/18,Boating,rented,FALSE,,110L,,,,
FALSE,Dry Bag,NRS,110L,0,5/24/18,Boating,nso room,TRUE,,110L,,,,
FALSE,Dry Bag,NRS,110L,0,5/24/18,Boating,nso room,TRUE,,110L,,,,
FALSE,Dry Bag,NRS,110L,0,5/24/18,Boating,rented,FALSE,,110L,,,,
FALSE,Dry Bag,NRS,110L,0,5/24/18,Boating,trip room,TRUE,,Gallon,,,,
FALSE,Inflatable Boat Cleaner,NRS,Gallon,0,5/24/18,Repair / Spare Parts,trip room,TRUE,,0,,,,
FALSE,Car Strap Kit,NRS,0,0,5/24/18,Boating,in repair,TRUE,,0,,,,
FALSE,Car Strap Kit,NRS,0,0,5/24/18,Boating,trip room,TRUE,,0,,,,
FALSE,Car Strap Kit,NRS,0,0,5/24/18,Boating,trip room,TRUE,,"2""",,,,
FALSE,SUP Board Fin,NRS,"2""",0,5/24/18,Repair / Spare Parts,in repair,TRUE,,"5""",,,,
FALSE,SUP Board Fin,NRS,"5""",0,5/24/18,Repair / Spare Parts,trip room,TRUE,,"9""",,,,
FALSE,SUP Board Fin,NRS,"9""",0,5/24/18,Repair / Spare Parts,trip room,TRUE,,"6"" x 18""",,,,
FALSE,Duckie Patch,NRS,"6"" x 18""",0,5/24/18,Repair / Spare Parts,nso room,TRUE,,"6"" x 18""",,,,
FALSE,Duckie Patch,NRS,"6"" x 18""",0,5/24/18,Repair / Spare Parts,in repair,TRUE,,4 oz,,,,
FALSE,Adhesive,NRS,4 oz,0,5/24/18,Repair / Spare Parts,rented,FALSE,,4 oz,,,,
FALSE,Adhesive,NRS,4 oz,0,5/24/18,Repair / Spare Parts,nso room,TRUE,,4 oz,,,,
FALSE,Adhesive,NRS,4 oz,0,5/24/18,Repair / Spare Parts,in repair,TRUE,,4 oz,,,,
FALSE,Adhesive,NRS,4 oz,0,5/24/18,Repair / Spare Parts,in repair,TRUE,,1 qt,,,,
FALSE,PVC Cleaner,NRS,1 qt,0,5/24/18,Repair / Spare Parts,in repair,TRUE,,0,,,,
FALSE,Drag Bag,NRS,0,0,5/24/18,Boating,rented,FALSE,,0,,,,
FALSE,Drag Bag,NRS,0,0,5/24/18,Boating,in repair,TRUE,,0,,,,
FALSE,Drag Bag,NRS,0,0,5/24/18,Boating,in repair,TRUE,,X-Large,,,,
FALSE,Dry Top,Kokatat,X-Large,0,5/25/18,Boating,rented,FALSE,,Large,,,,
FALSE,Dry Top,Kokatat,Large,0,5/25/18,Boating,rented,FALSE,,Large,,,,
FALSE,Dry Top,Kokatat,Large,0,5/25/18,Boating,rented,FALSE,,Medium,,,,
FALSE,Dry Top,Kokatat,Medium,0,5/25/18,Boating,nso room,TRUE,,Medium,,,,
FALSE,Dry Top,Kokatat,Medium,0,5/25/18,Boating,in repair,TRUE,,Neck,,,,
FALSE,Gasket,Kokatat,Neck,0,5/25/18,Repair / Spare Parts,trip room,TRUE,,Neck,,,,
FALSE,Gasket,Kokatat,Neck,0,5/25/18,Repair / Spare Parts,trip room,TRUE,,Neck,,,,
FALSE,Gasket,Kokatat,Neck,0,5/25/18,Repair / Spare Parts,in repair,TRUE,,Neck,,,,
FALSE,Gasket,Kokatat,Neck,0,5/25/18,Repair / Spare Parts,in repair,TRUE,,Neck,,,,
FALSE,Gasket,Kokatat,Neck,0,5/25/18,Repair / Spare Parts,trip room,TRUE,,Neck,,,,
FALSE,Gasket,Kokatat,Neck,0,5/25/18,Repair / Spare Parts,nso room,TRUE,,Ankle,,,,
FALSE,Gasket,Kokatat,Ankle,0,5/25/18,Repair / Spare Parts,nso room,TRUE,,Ankle,,,,
FALSE,Gasket,Kokatat,Ankle,0,5/25/18,Repair / Spare Parts,in repair,TRUE,,Ankle,,,,
FALSE,Gasket,Kokatat,Ankle,0,5/25/18,Repair / Spare Parts,rented,FALSE,,Ankle,,,,
FALSE,Gasket,Kokatat,Ankle,0,5/25/18,Repair / Spare Parts,rented,FALSE,,Ankle,,,,
FALSE,Gasket,Kokatat,Ankle,0,5/25/18,Repair / Spare Parts,trip room,TRUE,,Ankle,,,,
FALSE,Gasket,Kokatat,Ankle,0,5/25/18,Repair / Spare Parts,trip room,TRUE,,Ankle,,,,
FALSE,Gasket,Kokatat,Ankle,0,5/25/18,Repair / Spare Parts,rented,FALSE,,Ankle,,,,
FALSE,Gasket,Kokatat,Ankle,0,5/25/18,Repair / Spare Parts,nso room,TRUE,,Ankle,,,,
FALSE,Gasket,Kokatat,Ankle,0,5/25/18,Repair / Spare Parts,nso room,TRUE,,Ankle,,,,
FALSE,Gasket,Kokatat,Ankle,0,5/25/18,Repair / Spare Parts,rented,FALSE,,Wrist,,,,
FALSE,Gasket,Kokatat,Wrist,0,5/25/18,Repair / Spare Parts,rented,FALSE,,X-Large,,,,
FALSE,Rain Pants,Helly Hansen,X-Large,0,5/25/18,Clothing,in repair,TRUE,,X-Large,,,,
FALSE,Rain Pants,Helly Hansen,X-Large,0,5/25/18,Clothing,nso room,TRUE,,Large,,,,
FALSE,Rain Pants,Helly Hansen,Large,0,5/25/18,Clothing,trip room,TRUE,,Large,,,,
FALSE,Rain Pants,Helly Hansen,Large,0,5/25/18,Clothing,trip room,TRUE,,Large,,,,
FALSE,Rain Pants,Helly Hansen,Large,0,5/25/18,Clothing,nso room,TRUE,,Large,,,,
FALSE,Rain Pants,Helly Hansen,Large,0,5/25/18,Clothing,rented,FALSE,,Medium,,,,
FALSE,Rain Pants,Helly Hansen,Medium,0,5/25/18,Clothing,rented,FALSE,,Medium,,,,
FALSE,Rain Pants,Helly Hansen,Medium,0,5/25/18,Clothing,trip room,TRUE,,Medium,,,,
FALSE,Rain Pants,Helly Hansen,Medium,0,5/25/18,Clothing,rented,FALSE,,Medium,,,,
FALSE,Rain Pants,Helly Hansen,Medium,0,5/25/18,Clothing,in repair,TRUE,,Medium,,,,
FALSE,Rain Pants,Helly Hansen,Medium,0,5/25/18,Clothing,rented,FALSE,,Medium,,,,
FALSE,Rain Pants,Helly Hansen,Medium,0,5/25/18,Clothing,rented,FALSE,,Small,,,,
FALSE,Rain Pants,Helly Hansen,Small,0,5/25/18,Clothing,nso room,TRUE,,Small,,,,
FALSE,Rain Pants,Helly Hansen,Small,0,5/25/18,Clothing,nso room,TRUE,,Small,,,,
FALSE,Rain Pants,Helly Hansen,Small,0,5/25/18,Clothing,in repair,TRUE,,Small,,,,
FALSE,Rain Pants,Helly Hansen,Small,0,5/25/18,Clothing,nso room,TRUE,,Small,,,,
FALSE,Rain Pants,Helly Hansen,Small,0,5/25/18,Clothing,trip room,TRUE,,X-Small,,,,
FALSE,Rain Pants,Helly Hansen,X-Small,0,5/25/18,Clothing,in repair,TRUE,,X-Small,,,,
FALSE,Rain Pants,Helly Hansen,X-Small,0,5/25/18,Clothing,trip room,TRUE,,150 Lumen,,,,
FALSE,Headlamp,Black Diamond,150 Lumen,0,5/29/18,Trips Only,rented,FALSE,,150 Lumen,,,,
FALSE,Headlamp,Black Diamond,150 Lumen,0,5/29/18,Trips Only,trip room,TRUE,,150 Lumen,,,,
FALSE,Headlamp,Black Diamond,150 Lumen,0,5/29/18,Trips Only,in repair,TRUE,,150 Lumen,,,,
FALSE,Headlamp,Black Diamond,150 Lumen,0,5/29/18,Trips Only,in repair,TRUE,,150 Lumen,,,,
FALSE,Headlamp,Black Diamond,150 Lumen,0,5/29/18,Trips Only,rented,FALSE,,150 Lumen,,,,
FALSE,Headlamp,Black Diamond,150 Lumen,0,5/29/18,Trips Only,in repair,TRUE,,150 Lumen,,,,
FALSE,Headlamp,Black Diamond,150 Lumen,0,5/29/18,Trips Only,in repair,TRUE,,150 Lumen,,,,
FALSE,Headlamp,Black Diamond,150 Lumen,0,5/29/18,Trips Only,trip room,TRUE,,150 Lumen,,,,
FALSE,Headlamp,Black Diamond,150 Lumen,0,5/29/18,Trips Only,rented,FALSE,,150 Lumen,,,,
FALSE,Headlamp,Black Diamond,150 Lumen,0,5/29/18,Trips Only,in repair,TRUE,,150 Lumen,,,,
FALSE,Headlamp,Black Diamond,150 Lumen,0,5/29/18,Trips Only,nso room,TRUE,,150 Lumen,,,,
FALSE,Headlamp,Black Diamond,150 Lumen,0,5/29/18,Trips Only,trip room,TRUE,,Medium,,,,
FALSE,Rain Jacket,Black Diamond,Medium,0,5/29/18,Clothing,rented,FALSE,,Medium,,,,
FALSE,Rain Jacket,Black Diamond,Medium,0,5/29/18,Clothing,in repair,TRUE,,Medium,,,,
FALSE,Rain Jacket,Black Diamond,Medium,0,5/29/18,Clothing,trip room,TRUE,,Large,,,,
FALSE,Rain Jacket,Black Diamond,Large,0,5/29/18,Clothing,trip room,TRUE,,X-Large,,,,
FALSE,Rain Jacket,Black Diamond,X-Large,0,5/29/18,Clothing,nso room,TRUE,,2.0 oz,,,,
FALSE,Neoprene Repair,Seal Cement,2.0 oz,0,6/8/18,Repair / Spare Parts,nso room,TRUE,,2.0 oz,,,,
FALSE,Neoprene Repair,Seal Cement,2.0 oz,0,6/8/18,Repair / Spare Parts,nso room,TRUE,,30yd - 5lb,,,,
FALSE,Tippet Line,Rio Fly Fishing,30yd - 5lb,0,6/8/18,Repair / Spare Parts,in repair,TRUE,,290-01 0.2,,,,
FALSE,Engraver,Dremel,290-01 0.2,0,6/8/18,Repair / Spare Parts,trip room,TRUE,,0,,,,
FALSE,Zipper Pliers,BesTim Digital,0,0,6/8/18,Repair / Spare Parts,nso room,TRUE,,9' and 5x,,,,
FALSE,Leader Line,Bozeman Flyworks,9' and 5x,0,6/8/18,Repair / Spare Parts,rented,FALSE,,9' and 5x,,,,
FALSE,Leader Line,Bozeman Flyworks,9' and 5x,0,6/8/18,Repair / Spare Parts,in repair,TRUE,,"13""",,,,
FALSE,Utility Cart,Honey-Can-Do,"13""",0,6/8/18,Repair / Spare Parts,trip room,TRUE,,"5wt 9'0"" 2pc ",,,,
FALSE,Fly Rod,Temple Fork Outfitters,"5wt 9'0"" 2pc ",0,6/11/18,Fly Fishing,rented,FALSE,,"5wt 9'0"" 2pc ",,,,
FALSE,Fly Rod,Temple Fork Outfitters,"5wt 9'0"" 2pc ",0,6/11/18,Fly Fishing,in repair,TRUE,,"5wt 9'0"" 2pc ",,,,
FALSE,Fly Rod,Temple Fork Outfitters,"5wt 9'0"" 2pc ",0,6/11/18,Fly Fishing,nso room,TRUE,,"5wt 9'0"" 2pc ",,,,
FALSE,Fly Rod,Temple Fork Outfitters,"5wt 9'0"" 2pc ",0,6/11/18,Fly Fishing,nso room,TRUE,,"5wt 9'0"" 2pc ",,,,
FALSE,Fly Rod,Temple Fork Outfitters,"5wt 9'0"" 2pc ",0,6/11/18,Fly Fishing,rented,FALSE,,"9/16""",,,,
FALSE,Pedal,Curb Dog,"9\16""",0,6/14/18,Repair / Spare Parts,nso room,TRUE,,"9/16""",,,,
FALSE,Pedal,Curb Dog,"9\16""",0,6/14/18,Repair / Spare Parts,trip room,TRUE,,"9/16""",,,,
FALSE,Pedal,Curb Dog,"9\16""",0,6/14/18,Repair / Spare Parts,rented,FALSE,,"9/16""",,,,
FALSE,Pedal,Curb Dog,"9\16""",0,6/14/18,Repair / Spare Parts,nso room,TRUE,,"9/16""",,,,
FALSE,Pedal,Curb Dog,"9\16""",0,6/14/18,Repair / Spare Parts,in repair,TRUE,,"9/16""",,,,
FALSE,Pedal,Curb Dog,"9\16""",0,6/14/18,Repair / Spare Parts,in repair,TRUE,,"9/16""",,,,
FALSE,Pedal,Curb Dog,"9\16""",0,6/14/18,Repair / Spare Parts,nso room,TRUE,,"9/16""",,,,
FALSE,Pedal,Curb Dog,"9\16""",0,6/14/18,Repair / Spare Parts,nso room,TRUE,,"9/16""",,,,
FALSE,Pedal,Curb Dog,"9\16""",0,6/14/18,Repair / Spare Parts,in repair,TRUE,,"9/16""",,,,
FALSE,Pedal,Curb Dog,"9\16""",0,6/14/18,Repair / Spare Parts,nso room,TRUE,,"9/16""",,,,
FALSE,Pedal,Curb Dog,"9\16""",0,6/14/18,Repair / Spare Parts,rented,FALSE,,"9""",,,,
FALSE,Utility Hanger,Everbilt,"9""",0,6/20/18,Repair / Spare Parts,nso room,TRUE,,"9""",,,,
FALSE,Utility Hanger,Everbilt,"9""",0,6/20/18,Repair / Spare Parts,rented,FALSE,,"9""",,,,
FALSE,Utility Hanger,Everbilt,"9""",0,6/20/18,Repair / Spare Parts,nso room,TRUE,,"9""",,,,
FALSE,Utility Hanger,Everbilt,"9""",0,6/20/18,Repair / Spare Parts,in repair,TRUE,,"9""",,,,
FALSE,Utility Hanger,Everbilt,"9""",0,6/20/18,Repair / Spare Parts,trip room,TRUE,,"9""",,,,
FALSE,Utility Hanger,Everbilt,"9""",0,6/20/18,Repair / Spare Parts,rented,FALSE,,"9""",,,,
FALSE,Utility Hanger,Everbilt,"9""",0,6/20/18,Repair / Spare Parts,in repair,TRUE,,"9""",,,,
FALSE,Utility Hanger,Everbilt,"9""",0,6/20/18,Repair / Spare Parts,in repair,TRUE,,X- Large,,,,
FALSE,Puffy Jacket,Black Diamond,X- Large,0,6/26/18,Clothing,trip room,TRUE,,Large,,,,
FALSE,Puffy Jacket,Black Diamond,Large,0,6/26/18,Clothing,trip room,TRUE,,Medium,,,,
FALSE,Puffy Jacket,Black Diamond,Medium,0,6/26/18,Clothing,nso room,TRUE,,Medium,,,,
FALSE,Puffy Jacket,Black Diamond,Medium,0,6/26/18,Clothing,in repair,TRUE,,Medium,,,,
FALSE,Puffy Jacket,Black Diamond,Medium,0,6/26/18,Clothing,trip room,TRUE,,Medium,,,,
FALSE,Puffy Jacket,Black Diamond,Medium,0,6/26/18,Clothing,nso room,TRUE,,Medium,,,,
FALSE,Puffy Jacket,Black Diamond,Medium,0,6/26/18,Clothing,nso room,TRUE,,2 oz,,,,
FALSE,Zip Care Cleaner,Gear Aid,2 oz,0,7/2/18,Repair / Spare Parts,in repair,TRUE,,2 oz,,,,
FALSE,Zip Care Cleaner,Gear Aid,2 oz,0,7/2/18,Repair / Spare Parts,nso room,TRUE,,2 oz,,,,
FALSE,Zip Care Cleaner,Gear Aid,2 oz,0,7/2/18,Repair / Spare Parts,trip room,TRUE,,2 oz,,,,
FALSE,Zip Care Cleaner,Gear Aid,2 oz,0,7/2/18,Repair / Spare Parts,in repair,TRUE,,2 oz,,,,
FALSE,Zip Care Cleaner,Gear Aid,2 oz,0,7/2/18,Repair / Spare Parts,nso room,TRUE,,2 oz,,,,
FALSE,Zip Care Cleaner,Gear Aid,2 oz,0,7/2/18,Repair / Spare Parts,in repair,TRUE,,2 oz,,,,
FALSE,Zip Care Cleaner,Gear Aid,2 oz,0,7/2/18,Repair / Spare Parts,rented,FALSE,,2 oz,,,,
FALSE,Zip Care Cleaner,Gear Aid,2 oz,0,7/2/18,Repair / Spare Parts,trip room,TRUE,,2 oz,,,,
FALSE,Zip Care Cleaner,Gear Aid,2 oz,0,7/2/18,Repair / Spare Parts,in repair,TRUE,,2 oz,,,,
FALSE,Zip Care Cleaner,Gear Aid,2 oz,0,7/2/18,Repair / Spare Parts,nso room,TRUE,,2 oz,,,,
FALSE,Zip Care Cleaner,Gear Aid,2 oz,0,7/2/18,Repair / Spare Parts,rented,FALSE,,2 oz,,,,
FALSE,Zip Care Cleaner,Gear Aid,2 oz,0,7/2/18,Repair / Spare Parts,trip room,TRUE,,2 oz,,,,
FALSE,Zip Care Cleaner,Gear Aid,2 oz,0,7/2/18,Repair / Spare Parts,trip room,TRUE,,2 oz,,,,
FALSE,Zip Care Cleaner,Gear Aid,2 oz,0,7/2/18,Repair / Spare Parts,trip room,TRUE,,2 oz,,,,
FALSE,Zip Care Cleaner,Gear Aid,2 oz,0,7/2/18,Repair / Spare Parts,trip room,TRUE,,2 oz,,,,
FALSE,Zip Care Cleaner,Gear Aid,2 oz,0,7/2/18,Repair / Spare Parts,trip room,TRUE,,2 oz,,,,
FALSE,Zip Care Cleaner,Gear Aid,2 oz,0,7/2/18,Repair / Spare Parts,in repair,TRUE,,2 oz,,,,
FALSE,Zip Care Cleaner,Gear Aid,2 oz,0,7/2/18,Repair / Spare Parts,trip room,TRUE,,2 oz,,,,
FALSE,Zip Care Cleaner,Gear Aid,2 oz,0,7/2/18,Repair / Spare Parts,trip room,TRUE,,2 oz,,,,
FALSE,Zip Care Cleaner,Gear Aid,2 oz,0,7/2/18,Repair / Spare Parts,trip room,TRUE,,2 oz,,,,
FALSE,Zip Care Cleaner,Gear Aid,2 oz,0,7/2/18,Repair / Spare Parts,in repair,TRUE,,2 oz,,,,
FALSE,Zip Care Cleaner,Gear Aid,2 oz,0,7/2/18,Repair / Spare Parts,rented,FALSE,,1/2 oz,,,,
FALSE,Zipper Lubricant,McNett Essentials,half oz,0,7/2/18,Repair / Spare Parts,trip room,TRUE,,1/2 oz,,,,
FALSE,Zipper Lubricant,McNett Essentials,half oz,0,7/2/18,Repair / Spare Parts,trip room,TRUE,,8 oz,,,,
FALSE,Measuring Cup,Liberty Mountain,8 oz,0,7/2/18,Cooking,nso room,TRUE,,"1.5"" x 60""",,,,
FALSE,Tenacious Tape,Gear Aid,"1.5"" x 60""",0,7/2/18,Repair / Spare Parts,trip room,TRUE,,"1.5"" x 60""",,,,
FALSE,Tenacious Tape,Gear Aid,"1.5"" x 60""",0,7/2/18,Repair / Spare Parts,in repair,TRUE,,"1.5"" x 60""",,,,
FALSE,Tenacious Tape,Gear Aid,"1.5"" x 60""",0,7/2/18,Repair / Spare Parts,in repair,TRUE,,"1.5"" x 60""",,,,
FALSE,Tenacious Tape,Gear Aid,"1.5"" x 60""",0,7/2/18,Repair / Spare Parts,rented,FALSE,,"1.5"" x 60""",,,,
FALSE,Tenacious Tape,Gear Aid,"1.5"" x 60""",0,7/2/18,Repair / Spare Parts,in repair,TRUE,,0,,,,
FALSE,Replacement Spigot,Reliance,0,0,7/2/18,Repair / Spare Parts,trip room,TRUE,,5',,,,
FALSE,Tear-Aid Type A Fab Roll ,Tear-Aid,5',0,7/2/18,Repair / Spare Parts,in repair,TRUE,,0,,,,
FALSE,Can Opener,N/A,0,0,7/5/18,Cooking,in repair,TRUE,,0,,,,
FALSE,Two-Burner Stove,Coleman,0,0,7/5/18,Cooking,nso room,TRUE,,"7""",,,,
FALSE,Tent Stakes,N/A,"7""",0,7/5/18,Repair / Spare Parts,trip room,TRUE,,0,,,,
FALSE,Knife,N/A,0,0,7/5/18,Cooking,rented,FALSE,,Medium,,,,
FALSE,Utility Duffle,Outdoor Products,Medium,0,7/7/18,Boating,nso room,TRUE,,Medium,,,,
FALSE,Utility Duffle,Outdoor Products,Medium,0,7/7/18,Boating,nso room,TRUE,,Medium,,,,
FALSE,Utility Duffle,Outdoor Products,Medium,0,7/7/18,Boating,in repair,TRUE,,Medium,,,,
FALSE,Utility Duffle,Outdoor Products,Medium,0,7/7/18,Boating,trip room,TRUE,,Medium,,,,
FALSE,Microspikes,Kahtoola,Medium,0,7/19/18,Repair / Spare Parts,nso room,TRUE,,S/M,,,,
FALSE,Backpacks,Osprey,SM,0,8/2/18,General,rented,FALSE,,L/XL,,,,
FALSE,Backpacks,Osprey,LXL,0,8/2/18,General,rented,FALSE,,4 Person,,,,
FALSE,Tent - 4 Person,Big Agnes,4 Person,0,8/2/18,Sleeping,in repair,TRUE,,20x72R,,,,
FALSE,Sleeping Pad,Big Agnes,20x72R,0,8/2/19,Sleeping,in repair,TRUE,,0,,,,
FALSE,Two-Burner Stove,Coleman,0,0,8/2/18,Cooking,trip room,TRUE,,0,,,,
FALSE,Two-Burner Stove,Coleman,0,0,8/2/18,Cooking,rented,FALSE,,1/4in x 1000',,,,
FALSE,Rope - Bear Hang Kit,Rope King,1\4in x 1000',0,8/5/18,Cooking,nso room,TRUE,,0,,,,
FALSE,Carabiners - Bear Hang Kit,Cypher,0,,8/10/18,Cooking,in repair,TRUE,,0,,,,
FALSE,Cook Set (GF),Stanley,0,0,8/14/18,Cooking,in repair,TRUE,,"2 1/4"" x 50'",,,,
FALSE,Receipt Paper,MFLABEL,"2 1\4"" x 50'",0,9/21/18,Repair / Spare Parts,nso room,TRUE,,2.5mm x 100,,,,
FALSE,Elastic Cord - Tent Poles,Paracord Planet,2.5mm x 100,0,10/12/18,Repair / Spare Parts,trip room,TRUE,,0,,,,
FALSE,Water Jug Spigot,Reliance,0,0,10/12/18,Repair / Spare Parts,in repair,TRUE,,AAA,,,,
FALSE,AAA Batteries,Duracell,AAA,0,10/12/18,Repair / Spare Parts,in repair,TRUE,,4,,,,
FALSE,Tent - 4 Person,Big Agnes,4,0,8/2/18,Sleeping,rented,FALSE,,0,,,,
FALSE,Fleece Sleeping Bag Liner,Osage River,0,0,10/18/18,Sleeping,rented,FALSE,,26 x 3.8-5,,,,
FALSE,Tubes - Fat Bike,Maxxis,26 x 3.8-5,0,11/7/18,Repair / Spare Parts,rented,FALSE,,0,,,,
FALSE,Stove Shaker Needle,MSR - Cascade Designs,0,0,11/14/18,Repair / Spare Parts,rented,FALSE,,,,,,
